trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.65624587333048,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-19.4154921663576,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-121.48097987378847,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-109.4275636895738,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-53.58759136146627,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-72.87382379994528,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,10.456077317887287,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-18.673021111225324,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-34.953752912781475,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-78.9343974487721,"{0: 24, 1: 5, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-89.32363607893151,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,0.8493705511919425,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,15,-24.629297754290967,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,1,8.563509599511343,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-59.01188143164996,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-0.24591270855263925,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,35.66625738642601,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,16,14.18094930347737,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,5.626053433877317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,0.30533628895572007,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,13.42345337711283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,24.011118310470614,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,47.28544101214485,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,9.514821719555421,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,30.258257490799053,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,11,14.919160001681444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,30.975412232779707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,31.78084626593848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,5,35.1191067789061,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,36.35171460268841,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
