trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-233.46518350645104,"{0: 13, 1: 2, 2: 12, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9975}",20,0,-100.80896176602536,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9950000000000001}",20,0,-196.5592293596143,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9925000000000002}",25,0,-121.65613705217515,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9900000000000002}",20,3,-35.592616219554586,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9875000000000003}",20,4,-37.99498562966496,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9850000000000003}",20,0,-78.3003311485483,"{0: 12, 1: 4, 2: 0, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9825000000000004}",20,0,-87.21375365429984,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9800000000000004}",20,0,-96.34062222820151,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9775000000000005}",25,17,-2.313244834770611,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9750000000000005}",35,0,-288.14749313248257,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.9725000000000006}",25,0,-98.20083135702282,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9700000000000006}",30,13,-65.31335921587016,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9675000000000007}",25,0,-175.02456981028638,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9650000000000007}",20,0,-83.2498674341791,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9625000000000008}",35,11,-176.68640809515693,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.9600000000000009}",20,0,-68.68698840687493,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9575000000000009}",25,0,-32.45722576403094,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.955000000000001}",25,0,-210.7061837715189,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.952500000000001}",20,0,-144.48528499315498,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9500000000000011}",25,0,-95.04122078544435,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9475000000000011}",30,0,-101.67090072128885,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9450000000000012}",25,0,-235.01995134569364,"{0: 12, 1: 3, 2: 3, 3: 4, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9425000000000012}",30,0,-118.46719499028455,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9400000000000013}",20,0,-51.959159514756806,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9375000000000013}",25,0,-120.9035320777606,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9350000000000014}",30,14,-121.85154387541252,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.9325000000000014}",20,5,-94.91696821625051,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.9300000000000015}",20,0,-60.15209981509258,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9275000000000015}",25,0,-149.9730439462734,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9250000000000016}",25,0,-144.05440393139838,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9225000000000017}",25,1,-163.45285562212297,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 3}",1
33,False,"{'a': 0.5, 'e': 0.9200000000000017}",30,0,-100.46936653482187,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9175000000000018}",25,4,-104.77316918235468,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.9150000000000018}",20,0,-135.7785473530876,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9125000000000019}",25,0,-61.656750616592745,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9100000000000019}",20,0,-85.49477027982266,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.907500000000002}",30,0,-143.61034012518735,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.905000000000002}",25,0,-114.98597659811698,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
