trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.81581839571331,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9975}",20,0,-129.0611791433416,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9950000000000001}",25,0,-146.98546416444023,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9925000000000002}",20,0,-113.1952825300167,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9900000000000002}",20,0,-46.96834242905793,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9875000000000003}",20,0,-154.9462884366144,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9850000000000003}",30,3,-105.23683909009864,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9825000000000004}",20,8,-59.66314506567077,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9800000000000004}",20,0,-136.73891974210704,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9775000000000005}",20,0,-118.12967143892263,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9750000000000005}",25,2,-76.06147688645305,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9725000000000006}",20,1,-29.133656695661,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9700000000000006}",20,0,-77.04251779271368,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9675000000000007}",20,0,-140.99558506379384,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9650000000000007}",20,0,-97.17565964049781,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9625000000000008}",20,12,1.2102646375555843,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9600000000000009}",25,0,-150.43142667992544,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9575000000000009}",20,0,-125.52910949187049,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.955000000000001}",20,0,-21.287720104085484,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.952500000000001}",20,0,-110.70581758134244,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-145.51866611171576,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",35,0,-106.16360817293932,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-158.26575027175073,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-175.7106027851528,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,12,-8.625515724208736,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,-65.07492854708696,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-185.5563062832114,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-14.226777229592617,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-64.81317995578979,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-126.2774467155889,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
